LAYER_L;BLK_NAME;W_L;X1;Y1;X2;Y2;
0;;0;1.5049e+08;1.81461e+08;1.5049e+08;1.81811e+08;
0;;0;1.5049e+08;1.81461e+08;1.5159e+08;1.81461e+08;
0;;0;1.5049e+08;1.81811e+08;1.5159e+08;1.81811e+08;
0;;0;1.5049e+08;1.83061e+08;1.5049e+08;1.83411e+08;
0;;0;1.5049e+08;1.83061e+08;1.5154e+08;1.83061e+08;
0;;0;1.5049e+08;1.83411e+08;1.5154e+08;1.83411e+08;
0;;0;1.5049e+08;1.79861e+08;1.5049e+08;1.80211e+08;
0;;0;1.5049e+08;1.80211e+08;1.5154e+08;1.80211e+08;
0;;0;1.5049e+08;1.79861e+08;1.5154e+08;1.79861e+08;
0;;0;1.5049e+08;1.82261e+08;1.5049e+08;1.82611e+08;
0;;0;1.5049e+08;1.82261e+08;1.5159e+08;1.82261e+08;
0;;0;1.5049e+08;1.82611e+08;1.5159e+08;1.82611e+08;
0;;0;5.52905e+07;1.79736e+08;5.52905e+07;1.83536e+08;
0;;0;5.52905e+07;1.83536e+08;5.03905e+07;1.83536e+08;
0;;0;5.03905e+07;1.79736e+08;5.52905e+07;1.79736e+08;
0;;0;5.31405e+07;1.85586e+08;5.31149e+07;1.85781e+08;
0;;0;5.31149e+07;1.85781e+08;5.304e+07;1.85961e+08;
0;;0;5.304e+07;1.85961e+08;5.29208e+07;1.86117e+08;
0;;0;5.29208e+07;1.86117e+08;5.27655e+07;1.86236e+08;
0;;0;5.27655e+07;1.86236e+08;5.25846e+07;1.86311e+08;
0;;0;5.25846e+07;1.86311e+08;5.23905e+07;1.86336e+08;
0;;0;5.23905e+07;1.86336e+08;5.21963e+07;1.86311e+08;
0;;0;5.21963e+07;1.86311e+08;5.20155e+07;1.86236e+08;
0;;0;5.20155e+07;1.86236e+08;5.18601e+07;1.86117e+08;
0;;0;5.18601e+07;1.86117e+08;5.17409e+07;1.85961e+08;
0;;0;5.17409e+07;1.85961e+08;5.1666e+07;1.85781e+08;
0;;0;5.1666e+07;1.85781e+08;5.16405e+07;1.85586e+08;
0;;0;5.16405e+07;1.85586e+08;5.1666e+07;1.85392e+08;
0;;0;5.1666e+07;1.85392e+08;5.17409e+07;1.85211e+08;
0;;0;5.17409e+07;1.85211e+08;5.18601e+07;1.85056e+08;
0;;0;5.18601e+07;1.85056e+08;5.20155e+07;1.84937e+08;
